Date,Open,High,Low,Close,Adj Close,Volume
2023/1/3,446,453.5,443,453,445.9755249,14885824
2023/1/4,449.5,455,448.5,449.5,442.5298157,19188422
2023/1/5,459,459.5,455,458.5,451.3902283,23549581
2023/1/6,455,459.5,455,458.5,451.3902283,20886011
2023/1/9,468,481,467.5,481,473.5413208,46666263
2023/1/10,486,487,483,486,478.4638062,32646014
2023/1/11,487,488,482,484.5,476.9870605,21051115
2023/1/12,487.5,488,484,486.5,478.9560242,20963689
2023/1/13,507,509,499,500,492.2467346,77606949
2023/1/16,506,508,503,505,497.1691589,34373918
2023/1/17,504,504,499.5,503,495.2001953,27770329
2023/1/30,542,543,534,543,534.5799561,124428936
2023/1/31,537,538,521,522,513.9055786,72530854
2023/2/1,532,533,522,530,521.7814941,33710990
2023/2/2,538,542,537,540,531.6264648,43077053
2023/2/3,540,542,536,542,533.595459,31635865
2023/2/6,532,533,526,526,517.8435669,30870136
2023/2/7,524,528,522,523,514.8900757,23481767
2023/2/8,538,540,534,540,531.6264648,35096191
2023/2/9,540,540,536,540,531.6264648,18861972
2023/2/10,544,546,541,545,536.5489502,28495684
2023/2/13,544,544,538,541,532.6109619,22768977
2023/2/14,544,546,543,545,536.5489502,21883297
2023/2/15,526,532,522,525,516.8590698,61796793
2023/2/16,528,531,524,528,519.8125,29975138
2023/2/17,524,524,516,518,509.9676208,28121975
2023/2/20,514,519,511,517,508.9830627,20065156
2023/2/21,515,517,513,516,507.9985657,13504100
2023/2/22,506,509,505,507,499.1381531,24575245
2023/2/23,512,521,510,518,509.9676208,25376835
2023/2/24,524,525,511,511,503.0761414,41692491
2023/3/1,504,522,504,522,513.9055786,39560848
2023/3/2,519,520,515,519,510.9521179,16558784
2023/3/3,524,525,516,516,507.9985657,23253895
2023/3/6,520,524,517,521,512.9210815,21922085
2023/3/7,521,526,519,524,515.8745728,24861078
2023/3/8,521,523,518,521,512.9210815,24512408
2023/3/9,525,526,522,522,513.9055786,21557577
2023/3/10,515,516,511,513,505.0451355,24045605
2023/3/13,513,518,509,516,507.9985657,21466947
2023/3/14,511,514,510,510,502.0916748,20474770
2023/3/15,515,516,510,511,503.0761414,23208597
2023/3/16,505,510,504,505,499.8590393,21965994
2023/3/17,516,518,513,518,512.7266846,33118483
2023/3/20,517,518,510,512,506.7877808,11837312
2023/3/21,515,517,512,517,511.7368469,18284799
2023/3/22,524,533,524,533,527.5739746,42385987
2023/3/23,528,539,528,538,532.5231323,26728246
2023/3/24,536,539,535,539,533.5128784,21926240
2023/3/27,533,536,531,531,525.5943604,16111177
2023/3/28,525,530,524,525,519.6553955,17234120
2023/3/29,533,533,525,530,524.6044922,17280749
2023/3/30,536,537,531,535,529.5536499,19201564
2023/3/31,538,538,532,533,527.5739746,23558838
2023/4/6,530,531,526,530,524.6044922,25423363
2023/4/7,535,535,529,531,525.5943604,8557482
2023/4/10,533,533,528,529,523.6146851,7435151
2023/4/11,522,527,522,524,518.6656494,22675697
2023/4/12,523,524,517,520,514.7062988,23816473
2023/4/13,515,517,510,510,504.8081055,25536889
2023/4/14,516,520,513,516,510.7470703,18072504
2023/4/17,519,520,514,520,514.7062988,14634287
2023/4/18,518,520,514,515,509.7572327,15168888
2023/4/19,517,518,509,510,504.8081055,21123233
2023/4/20,512,516,510,513,507.7775879,17221961
2023/4/21,520,520,510,511,505.7979431,25016683
2023/4/24,505,510,504,507,501.8386841,16886512
2023/4/25,504,505,498,498,492.9302979,36898412
2023/4/26,498,498.5,491,491.5,486.49646,31269245
2023/4/27,491,495,489,493.5,488.4761047,29537148
2023/4/28,498.5,502,498,502,496.8895569,24824100
2023/5/2,500,502,496.5,501,495.8997498,15325791
2023/5/3,496,498,495,496,490.9506531,11369311
2023/5/4,497,499.5,496,498,492.9302979,13140291
2023/5/5,500,502,498.5,500,494.9099426,7488897
2023/5/8,509,509,502,504,498.8692017,11243634
2023/5/9,507,510,505,510,504.8081055,16197743
2023/5/10,508,508,500,503,497.8793945,18859212
2023/5/11,506,506,498.5,499,493.920105,13382927
2023/5/12,496,500,495,496,490.9506531,18465362
2023/5/15,497,499.5,494.5,495.5,490.4557495,13315766
2023/5/16,503,508,500,505,499.8590393,21140315
2023/5/17,508,521,506,519,513.7164917,41406763
2023/5/18,533,536,526,530,524.6044922,43096277
2023/5/19,535,535,529,532,526.5841675,32099068
2023/5/22,532,533,529,531,525.5943604,17208135
2023/5/23,530,531,525,530,524.6044922,19588873
2023/5/24,527,528,524,525,519.6553955,19086681
2023/5/25,542,545,537,543,537.472168,63827245
2023/5/26,568,568,563,566,560.2380371,95808471
2023/5/29,574,574,564,568,562.2177124,54657853
2023/5/30,566,568,563,566,560.2380371,40136130
2023/5/31,560,562,551,558,552.319458,81176782
2023/6/1,550,554,550,551,545.3907471,24477529
2023/6/2,559,564,557,562,556.2787476,30206141
2023/6/5,560,560,555,555,549.3499756,16827391
2023/6/6,554,562,553,560,554.2991333,20228086
2023/6/7,561,568,560,568,562.2177124,27604813
2023/6/8,562,568,555,559,553.3093262,23080195
2023/6/9,561,566,561,565,559.24823,19091713
2023/6/12,574,574,571,574,568.1566162,26392389
2023/6/13,593,594,589,593,586.9631958,56174363
2023/6/14,590,591,587,590,583.9937134,23583314
2023/6/15,590,593,587,591,587.7227783,27392154
2023/6/16,590,590,584,589,585.7338257,38128802
2023/6/19,583,585,582,583,579.7670898,14346885
2023/6/20,579,585,579,583,579.7670898,16221413
2023/6/21,582,585,578,581,577.7781982,21703937
2023/6/26,576,578,574,574,570.8170166,27142262
2023/6/27,570,575,569,572,568.828125,21501718
2023/6/28,579,579,571,574,570.8170166,18175426
2023/6/29,578,580,570,573,569.8225708,16937929
2023/6/30,570,576,568,576,572.8059082,22654976
2023/7/3,578,580,576,579,575.7893066,14785585
2023/7/4,585,585,580,585,581.7560425,17219541
2023/7/5,589,589,579,582,578.772644,14913592
2023/7/6,573,574,565,565,561.8669434,28564891
2023/7/7,565,572,563,565,561.8669434,18796190
2023/7/10,567,573,565,565,561.8669434,18454982
2023/7/11,574,577,570,577,573.800415,17850636
2023/7/12,574,578,572,578,574.7948608,15588228
2023/7/13,587,590,585,585,581.7560425,25442137
2023/7/14,589,591,587,591,587.7227783,23121873
2023/7/17,588,591,587,591,587.7227783,13807834
2023/7/18,587,588,580,581,577.7781982,20932006
2023/7/19,584,587,579,581,577.7781982,22499123
2023/7/20,580,584,578,579,575.7893066,15108109
2023/7/21,560,563,557,560,556.8946533,46711021
2023/7/24,557,563,557,558,554.9057617,25268835
2023/7/25,561,569,561,569,565.8447266,19590349
2023/7/26,569,571,563,566,562.8613892,13314305
2023/7/27,570,570,566,569,565.8447266,12200358
2023/7/28,569,573,565,567,563.855835,18540078
2023/7/31,575,575,560,565,561.8669434,24208467
2023/8/1,565,568,564,567,563.855835,16259643
2023/8/2,567,569,558,561,557.8890991,25583234
2023/8/4,556,560,552,554,550.9279175,26279173
2023/8/7,558,561,556,558,554.9057617,14369551
2023/8/8,558,558,551,552,548.9390259,19010690
2023/8/9,550,557,550,554,550.9279175,14389090
2023/8/10,552,554,550,551,547.9445801,17892615
2023/8/11,556,558,546,546,542.97229,17608427
2023/8/14,540,543,537,541,538,20939030
2023/8/15,543,545,540,542,538.9944458,14066307
2023/8/16,541,543,536,542,538.9944458,28269840
2023/8/17,540,546,537,544,540.9833984,22843138
2023/8/18,540,544,539,539,536.0111084,17592345
2023/8/21,544,544,534,537,534.0222168,16633821
2023/8/22,544,544,538,541,538,14594304
2023/8/23,546,552,544,552,548.9390259,20636332
2023/8/24,563,564,558,564,560.8724976,23280827
2023/8/25,549,551,546,546,542.97229,24144537
2023/8/28,547,553,547,549,545.9556274,8991985
2023/8/29,551,553,546,552,548.9390259,10516678
2023/8/30,558,560,554,555,551.9223633,15117416
2023/8/31,553,556,548,549,545.9556274,40431378
2023/9/1,543,553,543,548,544.9611816,13669766
2023/9/4,549,557,549,557,553.9113159,9531157
2023/9/5,553,555,550,552,548.9390259,12220686
2023/9/6,556,556,550,550,546.9501343,14067008
2023/9/7,546,548,542,542,538.9944458,20717005
2023/9/8,535,540,535,539,536.0111084,15283568
2023/9/11,539,540,536,536,533.027771,14631968
2023/9/12,536,545,536,544,540.9833984,16028336
2023/9/13,545,548,541,541,538,16191392
2023/9/14,544,550,543,550,550,17144287
2023/9/15,549,558,547,558,558,42517441
2023/9/18,548,549,540,540,540,36684692
2023/9/19,539,543,538,538,538,18901683
2023/9/20,536,538,535,535,535,24635567
2023/9/21,530,531,526,527,527,32012694
2023/9/22,523,525,522,522,522,29049309
2023/9/25,522,529,522,525,525,17116402
2023/9/26,521,524,519,519,519,26392692
2023/9/27,517,523,516,522,522,16846401
2023/9/28,523,525,520,523,523,19733331
2023/10/2,530,534,528,533,533,25427911
2023/10/3,528,533,528,529,529,14490129
2023/10/4,521,523,519,520,520,28358964
2023/10/5,523,529,523,528,528,24945684
2023/10/6,530,533,529,532,532,15336587
2023/10/11,542,544,540,544,544,46639969
2023/10/12,545,550,544,550,550,34161176
2023/10/13,550,554,548,553,553,31123496
2023/10/16,546,547,542,545,545,20222773
